Adria Airways|JP
Aegean Airlines|A3
Aer Arann|RE
Aer Lingus|EI
Aeroflot Russian Airlines|SU
Aerolineas Argentinas|AR
Aeromexico|AM
Air Algerie|AH
Air Astana|KC
Air Canada|AC
Air China|CA
Air Europa|UX
Air France|AF
Air India|AI
Air Malta|KM
Air Namibia|SW
Air New Zealand|NZ
Air Seychelles|HM
Air Tahiti|VT
Air Zimbabwe|UM
Alaska Airlines|AS
Alitalia|AZ
All Nippon Airways|NH
American Airlines|AA
Arik Air|W3
Asiana Airlines|OZ
Atlantic Airways|RC
Aurigny|GR
Austrian Airlines|OS
Avianca|AV
Azerbaijan Hava Yollary|J
AA BB |AB
