Date,Open,High,Low,Close,Adj Close,Volume
2022-04-12,6.600000,6.620000,6.530000,6.550000,6.208501,3751100
2022-04-13,6.570000,6.620000,6.560000,6.620000,6.274851,2942400
2022-04-14,6.630000,6.630000,6.570000,6.600000,6.255894,2210400
2022-04-18,6.610000,6.610000,6.550000,6.550000,6.208501,2212200
2022-04-19,6.590000,6.650000,6.580000,6.600000,6.255894,2714900
2022-04-20,6.640000,6.670000,6.620000,6.650000,6.303288,2283700
2022-04-21,6.660000,6.680000,6.610000,6.650000,6.303288,2121600
2022-04-22,6.630000,6.830000,6.630000,6.810000,6.454945,7337900
2022-04-25,6.740000,6.770000,6.680000,6.690000,6.341202,6240000
2022-04-26,6.750000,6.750000,6.650000,6.660000,6.312766,4066200
2022-04-27,6.660000,6.660000,6.660000,6.660000,6.312766,0
2022-04-28,6.880000,6.920000,6.620000,6.860000,6.714043,19201600
2022-04-29,6.900000,7.000000,6.860000,6.870000,6.723830,7201300
2022-05-04,6.890000,6.890000,6.820000,6.840000,6.694468,5160400
2022-05-05,6.880000,6.930000,6.840000,6.900000,6.753191,4405300
2022-05-06,6.830000,6.850000,6.780000,6.790000,6.645532,4671900
2022-05-09,6.770000,6.820000,6.670000,6.690000,6.547660,4185100
2022-05-10,6.570000,6.600000,6.520000,6.580000,6.440000,7307700
2022-05-11,6.530000,6.660000,6.530000,6.630000,6.488936,5336400
2022-05-12,6.590000,6.610000,6.430000,6.430000,6.293191,7649000
2022-05-13,6.490000,6.610000,6.490000,6.560000,6.420425,5372400
2022-05-17,6.610000,6.690000,6.590000,6.620000,6.479149,4162600
2022-05-18,6.640000,6.830000,6.640000,6.780000,6.635745,7646300
2022-05-19,6.700000,6.790000,6.660000,6.740000,6.596596,5053400
2022-05-20,6.770000,6.830000,6.770000,6.800000,6.655319,5833300
2022-05-23,6.820000,6.860000,6.760000,6.770000,6.625957,3516500
2022-05-24,6.800000,6.820000,6.690000,6.730000,6.586809,5420400
2022-05-25,6.770000,6.800000,6.740000,6.750000,6.606383,3147100
2022-05-26,6.800000,6.810000,6.760000,6.770000,6.625957,2526900
2022-05-27,6.800000,6.810000,6.770000,6.800000,6.655319,2980400
2022-05-30,6.820000,6.820000,6.780000,6.780000,6.635745,3261500
2022-05-31,6.780000,6.890000,6.770000,6.890000,6.743404,9285800
2022-06-01,6.890000,6.890000,6.820000,6.860000,6.714043,2825900
2022-06-02,6.840000,6.870000,6.810000,6.830000,6.684681,2497800
2022-06-03,6.840000,6.870000,6.810000,6.840000,6.694468,1403900
2022-06-06,6.830000,6.890000,6.830000,6.870000,6.723830,2677000
2022-06-07,6.840000,6.890000,6.820000,6.890000,6.743404,3594600
2022-06-08,6.880000,6.940000,6.860000,6.880000,6.733617,3648200
2022-06-09,6.890000,6.940000,6.880000,6.920000,6.772766,4260100
2022-06-10,6.860000,6.910000,6.850000,6.900000,6.753191,3459800
2022-06-13,6.820000,6.830000,6.730000,6.740000,6.596596,3939400
2022-06-14,6.710000,6.710000,6.630000,6.690000,6.547660,5943100
2022-06-15,6.670000,6.730000,6.650000,6.680000,6.537872,3827800
2022-06-16,6.720000,6.790000,6.530000,6.550000,6.410638,7503300
2022-06-17,6.510000,6.600000,6.500000,6.570000,6.430213,7697300
2022-06-20,6.530000,6.620000,6.510000,6.590000,6.449788,2372500
2022-06-21,6.630000,6.680000,6.610000,6.610000,6.469362,2750400
2022-06-22,6.630000,6.650000,6.530000,6.550000,6.410638,3739700
2022-06-23,6.570000,6.640000,6.520000,6.520000,6.381277,2932600
2022-06-24,6.540000,6.570000,6.530000,6.560000,6.420425,1566300
2022-06-27,6.580000,6.620000,6.550000,6.570000,6.430213,2206300
2022-06-28,6.560000,6.590000,6.530000,6.570000,6.430213,1762800
2022-06-29,6.540000,6.590000,6.520000,6.520000,6.381277,3892100
2022-06-30,6.550000,6.560000,6.490000,6.490000,6.351915,3148800
2022-07-01,6.490000,6.550000,6.470000,6.520000,6.381277,2400800
2022-07-04,6.550000,6.560000,6.490000,6.520000,6.381277,2787600
2022-07-05,6.550000,6.560000,6.500000,6.530000,6.391064,1951100
2022-07-06,6.490000,6.540000,6.430000,6.450000,6.312766,2682800
2022-07-07,6.460000,6.530000,6.420000,6.530000,6.391064,3051800
2022-07-08,6.540000,6.590000,6.530000,6.550000,6.410638,2217200
2022-07-12,6.520000,6.580000,6.500000,6.530000,6.391064,1837000
2022-07-13,6.550000,6.590000,6.530000,6.590000,6.449788,2604200
2022-07-14,6.590000,6.590000,6.440000,6.440000,6.302979,2461800
2022-07-15,6.460000,6.480000,6.350000,6.390000,6.254043,3440600
